 ,Latitude,Longitude,Elevation (m), Mean Temp (deg C),Mean Ann. Precip (mm),Mean Canopy Height (m),Mammal-Richness 2013-06,Mammal-Richness 2013-07,Mammal-Richness 2013-08,Mammal-Richness 2013-09,Mammal-Richness 2013-10,Mammal-Richness 2014-04,Mammal-Richness 2014-05,Mammal-Richness 2014-06,Mammal-Richness 2014-07,Mammal-Richness 2014-08,Mammal-Richness 2014-09,Mammal-Richness 2014-10,Mammal-Richness 2015-03,Mammal-Richness 2015-04,Mammal-Richness 2015-05,Mammal-Richness 2015-06,Mammal-Richness 2015-07,Mammal-Richness 2015-08,Mammal-Richness 2015-09,Mammal-Richness 2015-10,Mammal-Richness 2016-03,Mammal-Richness 2016-04,Mammal-Richness 2016-05,Mammal-Richness 2016-06,Mammal-Richness 2016-07,Mammal-Richness 2016-08,Mammal-Richness 2016-09,Mammal-Richness 2016-10,Mammal-Richness 2016-11,Mammal-Richness 2016-12,Mammal-Richness 2017-01,Mammal-Richness 2017-02,Mammal-Richness 2017-03,Mammal-Richness 2017-04,Mammal-Richness 2017-05,Mammal-Richness 2017-06,Mammal-Richness 2017-07,Mammal-Richness 2017-08,Mammal-Richness 2017-09,Mammal-Richness 2017-10,Mammal-Richness 2017-11,Mammal-Richness 2017-12,Mammal-Richness 2018-01,Mammal-Richness 2018-02,Mammal-Richness 2018-03,Mammal-Richness 2018-04,Mammal-Richness 2018-05,Mammal-Richness 2018-06,Mammal-Richness 2018-07,Mammal-Richness 2018-08,Mammal-Richness 2018-09,Mammal-Richness 2018-10,Mammal-Richness 2018-11,Mammal-Richness 2018-12,Mammal-Richness 2019-02,Mammal-Richness 2019-03,Mammal-Richness 2019-04,Mammal-Richness 2019-05,Mammal-Richness 2019-06,Mammal-Richness 2019-07,Mammal-Richness 2019-08,Mammal-Richness 2019-09,Mammal-Richness 2019-10,Mammal-Richness 2019-11,Bird-Richness 2013-06,Bird-Richness 2015-05,Bird-Richness 2015-06,Bird-Richness 2015-07,Bird-Richness 2016-05,Bird-Richness 2016-06,Bird-Richness 2016-07,Bird-Richness 2017-04,Bird-Richness 2017-05,Bird-Richness 2017-06,Bird-Richness 2017-07,Bird-Richness 2018-04,Bird-Richness 2018-05,Bird-Richness 2018-06,Bird-Richness 2018-07,Bird-Richness 2019-04,Bird-Richness 2019-05,Bird-Richness 2019-06,Bird-Richness 2019-07,Beetles-Richness 2013-07,Beetles-Richness 2013-08,Beetles-Richness 2013-09,Beetles-Richness 2013-10,Beetles-Richness 2014-03,Beetles-Richness 2014-04,Beetles-Richness 2014-05,Beetles-Richness 2014-06,Beetles-Richness 2014-07,Beetles-Richness 2014-08,Beetles-Richness 2014-09,Beetles-Richness 2014-10,Beetles-Richness 2014-11,Beetles-Richness 2015-02,Beetles-Richness 2015-04,Beetles-Richness 2015-05,Beetles-Richness 2015-06,Beetles-Richness 2015-07,Beetles-Richness 2015-08,Beetles-Richness 2015-09,Beetles-Richness 2015-10,Beetles-Richness 2015-11,Beetles-Richness 2015-12,Beetles-Richness 2016-03,Beetles-Richness 2016-04,Beetles-Richness 2016-05,Beetles-Richness 2016-06,Beetles-Richness 2016-07,Beetles-Richness 2016-08,Beetles-Richness 2016-09,Beetles-Richness 2016-10,Beetles-Richness 2016-11,Beetles-Richness 2016-12,Beetles-Richness 2017-01,Beetles-Richness 2017-02,Beetles-Richness 2017-03,Beetles-Richness 2017-04,Beetles-Richness 2017-05,Beetles-Richness 2017-06,Beetles-Richness 2017-07,Beetles-Richness 2017-08,Beetles-Richness 2017-09,Beetles-Richness 2017-10,Beetles-Richness 2017-11,Beetles-Richness 2017-12,Beetles-Richness 2018-01,Beetles-Richness 2018-02,Beetles-Richness 2018-03,Beetles-Richness 2018-04,Beetles-Richness 2018-05,Beetles-Richness 2018-06,Beetles-Richness 2018-07,Beetles-Richness 2018-08,Beetles-Richness 2018-09,Beetles-Richness 2018-10,Beetles-Richness 2018-11,Beetles-Richness 2018-12,Beetles-Richness 2019-01,Beetles-Richness 2019-02,Beetles-Richness 2019-03,Beetles-Richness 2019-04,Beetles-Richness 2019-05,Beetles-Richness 2019-06,Beetles-Richness 2019-07,Beetles-Richness 2019-08,Beetles-Richness 2019-09,Beetles-Richness 2019-10,Beetles-Richness 2019-11
LEWI,39.09564,-77.98322,152,12,950, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIRO,45.998269,-89.704767,502,4.4,793, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPB,42.47179,-72.32963,260,8,967, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAK,37.00583,-119.00602,2147,7,941,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8,7,,,,,,,,,,,,56,,,,59,,,,48,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,1,0,
TOMB,31.8521,-88.16107,20,18,1429, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MART,45.79125,-121.93196,434,8,2530, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYF,32.95966,-87.40813,96,17,1350, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDI,38.94428,-96.44197,396,12,860, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCRA,44.2596,-122.16555,833,10,1750, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOAB,38.24833,-109.38827,1767,11,200,0.2,,,,,,,,,,,,,,,8,7,,10,8,5,,6,,7,,,9,11,,,,,,6,9,7,,5,,,,,,,,4,5,4,6,,,,,,,,5,7,6,6,,,,,,,51,,,,,,48,,,,45,,,,52,,,,,,,,,,,,,,,,,,,3,6,10,7,,,,,1,7,7,10,8,9,5,,,,,,3,5,9,6,3,8,3,,,,,,,5,4,8,5,5,0,,,,,,0,1,1,0,1,2,,
MLBS,37.37828,-80.52484,1126,13,1030,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,6,9,8,,,,,,,,,,9,8,10,10,,,,,,,,,,,,,,,,56,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15,,,,,,,9,25,26,29,23,16,,,,,,,,19,25,32,24,17,,
NIWO,40.05425,-105.58237,3513,0,758,0.2,,,,,,,,,,,,,,,,4,6,5,4,3,,,,,5,4,4,,,,,,,,,4,5,,6,,,,,,,,,4,5,4,,,,,,,,,,5,3,4,3,,,,,33,,,,,,,35,,,,39,,,,28,,,,,,,,,,,,,,,,,,24,15,17,,,,,,,11,16,11,11,,,,,,,,,8,13,11,8,,,,,,,,,14,15,13,,,,,,,,,,0,,1,1,,
STER,40.4619,-103.0293,1364,8,370,1,,,,,,,3,8,,8,,9,7,,11,9,8,,8,,,6,,6,,4,4,,,,,,,,4,5,4,,3,,,,,,,,4,6,,4,4,,,,,,6,,5,5,8,,,,9,28,,,17,,,,16,,,,26,,,,17,15,,2,2,3,,1,,,13,16,20,18,,1,4,,20,30,29,25,25,,,,1,,31,34,30,29,22,,,,,,,20,19,16,17,,13,,,,,,,14,21,21,20,,23,,,,,,,12,23,3,0,,0,,
NOGP,46.76972,-100.91535,578,5,400,0.4,,,,,,,,,,,,,,,,,,,,,,,3,7,,6,,7,,,,,,,6,5,5,,7,,,,,,,,4,8,6,,8,,,,,,,,6,7,10,7,,,,,,,,,,,,,63,,,,64,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,9,22,18,20,17,,,,,,,,13,29,21,18,14,,,,,,,,13,22,36,22,8,,,,,,,6,1,0,2,0,1,,
ORNL,35.96412,-84.2826,334,15,1222,28,,,,,,,4,2,6,4,4,3,,3,5,7,5,6,6,,,4,6,6,7,5,,,,,,,,3,5,4,3,5,,6,,,,,,3,6,5,6,,6,5,,,,,3,4,,4,7,5,2,,,,,,71,58,,,82,,,,,63,,,80,,,,,,,,,,21,18,15,8,,,,4,14,17,22,13,13,,,,5,13,18,18,16,8,13,6,,,,,10,18,19,23,22,21,12,,,,,,,16,25,27,25,15,18,,,,,,,19,37,27,21,18,14,,
OKSR,68.66975,-149.14302,836,-4,331, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONAQ,40.17759,-112.45244,1685,9,388,1.2,,,,,,,5,6,10,10,10,11,,,,8,9,8,9,9,,,6,7,7,8,,6,8,,,,,,6,6,8,6,7,,,,,,,,8,9,7,6,7,,,,,,,5,5,7,7,7,5,,,,,,,,,,44,,,,31,6,,,44,,,,,,,,,,,3,2,2,,,,,,,,,3,,,,,5,7,9,5,3,3,,,,,,,3,3,5,7,7,4,,,,,,,,3,2,5,6,5,,,,,,,,3,3,4,1,1,,
OSBS,29.68927,-81.99343,45,20,1290,23,,3,2,5,2,3,2,5,3,3,2,2,,2,4,3,6,3,6,2,,3,4,7,6,6,5,,,,,,4,7,5,5,6,5,,,,,,,1,4,5,5,5,4,,1,1,,,4,4,5,5,3,3,,,,,,,,51,,,,46,,,,39,,,,42,,,0,0,0,,,6,5,5,4,7,4,,,,5,15,10,12,17,8,5,2,,,11,7,12,10,6,8,,,,,,,10,9,14,14,13,8,,,,,,4,6,6,4,9,3,3,,,,,,5,4,2,3,2,0,0,,
BARC,29.67647,-82.00909,32,20,1290, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUGG,29.68705,-82.01617,32,20,1290, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSE,38.89332,-78.14678,244,13,1054, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRLA,47.15909,-99.11388,565,5,490, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRPO,47.12999,-99.25055,579,5,490, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIN,33.37859,-97.78226,274,18,840, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUUM,19.55309,-155.31731,1685,13,2685, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,1,0,0,0,0,
REDB,40.78374,-111.79765,1742,9.5,713, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUPE,18.11352,-66.98676,257,25,1168, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUIL,18.1741,-66.79851,587,25,1168, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMNP,40.27591,-105.54592,2743,4,520,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,5,,,,,,,,,3,5,5,3,,,,,,,5,4,4,7,,,,,,,,,,,,36,34,,,54,16,,,44,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,4,,,,,,,,,,7,11,7,,,,,,,,,0,0,1,0,,
SJER,37.10878,-119.73228,368,17,270,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,5,5,6,7,7,,,,,6,7,7,7,7,6,,,,,,,,7,5,5,6,7,5,,,,,5,8,,,,,,,,89,,,,89,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,5,4,2,7,7,,,,,,3,5,5,3,3,6,9,,,,,,2,4,3,3,3,5,6,,,,,1,1
SRER,31.91068,-110.83549,983,20,290,2,,,,,,,,,,,,,,,,,,,,,,,16,14,17,8,11,11,9,12,,,19,,15,12,11,,11,11,,,,,11,,11,10,13,,8,9,,,,,10,12,11,11,13,,11,,,,,,,,,,57,,,40,55,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,10,15,8,3,,,,,,,6,13,8,14,18,8,,,,,,,5,8,10,18,13,5,,,,,2,4,2,2,9,11,7,,
SCBI,38.89292,-78.1395,361,13,1054,35,,,,,,,4,6,4,3,5,4,,4,5,4,5,6,7,,4,7,4,6,6,,9,,,,,,7,6,7,6,,6,3,,,,,,,1,4,3,,4,6,5,,,,4,3,9,5,,6,6,,,,,44,,55,49,,,66,23,,,62,22,,,52,67,,,,,,,,,7,5,4,7,1,,,,22,28,24,25,22,,,,,20,22,23,33,26,21,,,,,,,21,24,27,29,34,24,,,,,,,6,15,25,23,22,19,,,,,,,1,1,1,1,0,,,
SERC,38.89008,-76.56001,15,14,1107,38,,,,,,,,,,,,,,4,,1,,3,,2,,,3,,4,,6,3,,,,,,,2,3,6,6,,,,,,,,,3,,3,2,,2,,,,,,4,,4,3,,4,,,,,,,,,,68,19,,,72,,,,77,,,,,,,,,,,,,,,,,,31,38,36,26,22,,,,,,6,20,24,14,12,9,,,,,,10,19,30,25,15,16,13,,,,,,11,20,20,35,17,21,12,,,,,,0,0,2,1,2,,,
SOAP,37.03337,-119.26219,1160,10,1246,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,5,,,,,,,,,6,4,6,4,,,,,,,,,,54,,,,55,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,14,12,8,3,,,,,,,9,12,15,18,0,4,0,
STEI,45.50894,-89.58637,481,5,782,5.5,,,,,,,,,,,,,,,,,6,10,8,8,,,6,10,11,12,,,,,,,,,,5,10,9,11,,,,,,,,,7,9,10,10,,,,,,,4,6,9,10,,,,,,,,20,65,,,,69,,,52,42,,,69,33,,,,,,,,,,,,,,,,,,,11,12,10,,,1,,,17,19,19,23,10,,,,,,,,11,23,19,18,12,,,,,,,,20,20,21,15,12,5,,,,,,,,15,20,11,12,13,
SYCA,33.74906,-111.5069,727,21,350, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALL,32.95046,-87.39327,135,17,1350,25,,,,,,,2,5,4,5,4,3,3,4,5,5,5,3,,,2,3,4,4,5,4,,,,,,,3,3,6,,5,4,,2,,,,,,3,4,5,,4,5,2,,,,,5,4,6,2,7,,,,,,68,,,,65,,,66,,,,64,,,64,,,,,,,,,,2,1,1,1,,,,,,7,16,9,11,,,,,5,11,11,14,14,10,,,,,,,8,14,13,17,12,9,,,,,,,8,24,19,16,11,14,,,,,,,9,20,15,11,12,11,2,
TECR,36.95528,-119.02699,2011,7,941, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKFS,39.04043,-95.19215,335,12,870,19,,,,,,,,,,,,,,,,,6,6,5,,,,6,6,6,5,8,,,,,,,,7,8,,5,5,,,,,,,,5,,4,,4,4,,,,,,,2,4,4,4,,,,,,,,,,,,61,,,,47,,,,61,,,,,,,,,,,,,,,,,,,12,9,13,,,,8,19,20,22,16,20,9,11,,,,,,3,23,25,20,10,6,12,,,,,,2,15,18,19,11,8,7,,,,,,12,16,17,21,16,11,5,
TOOL,68.66109,-149.37047,843,-4,331,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,2,5,3,,,,,,,,,3,2,6,,,,,,,,,,,,,18,,,,,19,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,12,14,6,,,,,,,,,,9,14,5,,,
TOOK,68.630692,-149.610636,745,-4,331, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREE,45.49369,-89.58571,472,5,782,23,,,,,,,,,,,,,,,,6,10,11,,,,,,4,6,11,10,,,,,,,,,10,9,7,7,,,,,,,,,5,12,12,11,,,,,,,,5,8,8,9,,,,,,,,44,,,,50,,,,50,,,,51,,,,,,,,,,,,,,,,,,12,14,12,4,,,,,,17,26,27,18,14,,,,,,,,,18,20,20,9,,,,,,,,,24,21,21,18,,,,,,,,,0,2,2,2,2,
UNDE,46.23388,-89.53725,518,3,854,24,,,,,,,,,9,12,12,,,,5,7,8,9,7,10,,,5,10,8,14,9,,,,,,,,8,12,12,14,9,,,,,,,,8,9,12,13,15,,,,,,,3,9,8,13,,,,,,,,,53,31,,,75,,,,64,,,,81,,,,,,,,,,,5,6,,,,,11,19,23,12,12,,,,,,13,23,24,22,12,,,,,,,,,22,23,16,12,,,,,,,,14,22,17,10,17,,,,,,,,,0,1,3,4,2,
BIGC,37.058,-119.256,1197,7,941, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARR,71.28241,-156.61936,6,-12,110,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,1,1,0,,,,,,,,,1,1,1,,,,,,,,,,,,,,28,,,,23,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,,,,,,,2,0,,,
WALK,35.95947,-84.28041,334,15.3,1222, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLOU,39.89137,-105.9154,3103,-0.3,758, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WREF,45.82049,-121.95191,407,8,2530,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,9,10,8,12,10,,,,,,8,10,12,10,12,10,,,,,,,,,,,,,,,48,,,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,8,6,,,,,,,,7,7,6,0,0,,
WOOD,47.12823,-99.24136,579,5,490,1,,,,,,,3,4,11,10,8,6,,,,4,5,8,9,6,,,2,6,8,9,8,,,,,,,3,6,5,5,4,7,,,,,,,,3,5,4,6,8,6,,,,,,3,5,5,9,,6,,,,,60,,,,,,,77,,,,86,,,51,69,,,,,,1,,1,2,3,1,,,,1,13,23,24,26,25,,,,,15,29,38,31,32,12,,,,,,,,23,20,23,27,10,,,,,,,,19,25,30,30,21,,,,,,,,12,8,1,1,0,,
YELL,44.95348,-110.53914,2116,0,509,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,5,8,,,,,,,,4,4,10,6,,,,,,,,,,,,,,,,85,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,23,20,14,,,,,,,,,17,18,8,0,,